geography,hsa_nci_id,hsa_key,baseline_mae,enhanced_mae,n_test_weeks,mae_improvement_pct,wastewater_improved,hsa_population,hsa_svi,hsa_svi_socioeconomic,hsa_svi_household,hsa_svi_racial_ethnic,hsa_svi_housing_transport
New Jersey,108,New Jersey_108,0.17708594385491008,0.10839592893674585,19,38.78908366349126,True,1281755,0.3132096800870681,0.28411887357568333,0.36637504406068244,0.5463599737079239,0.3361419824381415
New Jersey,127,New Jersey_127,0.1434260201841807,0.11482153128613781,19,19.94372350380385,True,153588,0.9793,0.9418000000000001,0.8934000000000001,0.8976,0.9726
New Jersey,23,New Jersey_23,0.10505660668046687,0.05857279126866893,19,44.24644663536487,True,1351895,0.4654371301025597,0.3968897664389617,0.460714258207923,0.7346493474715122,0.4628466479275388
New Jersey,36,New Jersey_36,0.13030398936850607,0.09287470907096936,19,28.724585086712022,True,2185258,0.6625644116621471,0.6259169865526176,0.2892830970073099,0.9052660172849155,0.7644338653376398
New Jersey,64,New Jersey_64,0.14402771795950828,0.10752031630460639,19,25.347483229002854,True,369795,0.7242178412363606,0.6724128038507823,0.5999857310131289,0.7317512089130463,0.7522379886153139
New Jersey,66,New Jersey_66,0.13645229809959694,0.08702236345572718,19,36.2250657059588,True,2630578,0.7249773513653653,0.6364964561780719,0.46975343399815556,0.9286173989138509,0.813856730155882
New Jersey,87,New Jersey_87,0.12880968760573858,0.09828124685749177,19,23.700422938442664,True,653624,0.13991504840703523,0.11856446274922586,0.08417246735126005,0.6380423423864485,0.292609863774892
New Jersey,93,New Jersey_93,0.16255029108520708,0.13850072019867932,19,14.795157071678966,True,238838,0.13148879156583124,0.15284056222209197,0.09030614851907989,0.5107738873211131,0.18710785427779497
New York,10,New York_10,0.11905541135938222,0.06671038964141993,18,43.966940368592674,True,475984,0.44196345486402905,0.298380675821036,0.19598256348952908,0.6157939058875929,0.7777886750394971
New York,105,New York_105,0.2373726374788533,0.22884047836438892,18,3.594415601176638,True,149310,0.383716968053044,0.35791088004822186,0.023081916817359854,0.4833526522001206,0.8915872513562386
New York,106,New York_106,0.17828547495089592,0.1685920156050108,18,5.43704379089487,True,127440,0.7229,0.6147,0.7579,0.4085,0.798
New York,19,New York_19,0.17160335857698217,0.15761723670210048,18,8.150261155062088,True,246709,0.6122627224787097,0.551313389864172,0.4384330429777592,0.43056722089587324,0.7760602734395584
New York,21,New York_21,0.17302484343954014,0.16161724757926532,18,6.593039261590755,True,261976,0.369289365056341,0.3151741953461386,0.31036897692918436,0.32123227165847257,0.6347955045500352
New York,35,New York_35,0.2109932820027145,0.19677795427269917,18,6.737336655975825,True,124222,0.594759821931703,0.5669100529696834,0.42908290318945114,0.24855032119914344,0.8280831173222135
New York,41,New York_41,0.1589562487742106,0.1604248621294945,18,-0.9239104260506203,False,1574466,0.579008887267175,0.39065745509906213,0.30099040690621454,0.7850246410529028,0.843814626609911
New York,54,New York_54,0.17023531918890264,0.15144450743827303,18,11.038139347439568,True,2120538,0.5056129065359828,0.3755186858240692,0.4694611304301078,0.5996599430899139,0.6523651904375211
New York,56,New York_56,0.12040654907999435,0.11007058546247893,18,8.58422045685283,True,666845,0.5817754833582017,0.45416006343303167,0.4065675347344585,0.5026503805232101,0.8341375204132895
New York,58,New York_58,0.1754970437682434,0.16609447078346157,18,5.357681692461223,True,181381,0.41259274565693205,0.40646416383193396,0.29530131491170525,0.2467069527679305,0.6711668973045688
New York,59,New York_59,0.14846200415664945,0.1271088158593376,18,14.382931456846752,True,359368,0.5193157918902072,0.3179149139600632,0.5279556674495225,0.41524760551857703,0.8194444096302398
New York,65,New York_65,0.19209898079750487,0.16828549823834213,18,12.396464812202716,True,195023,0.5147778103095533,0.48845102628920695,0.4584008578475359,0.28620308066228084,0.6816922952677377
New York,76,New York_76,0.1952855341513345,0.1622448780790932,18,16.919151854144395,True,102904,0.5859648837751691,0.568912734198865,0.5623725491720438,0.4214356137759465,0.6174207883075488
New York,80,New York_80,0.20398790584951404,0.18951934744929919,18,7.092851088381974,True,252805,0.6349424240026899,0.5732913213741817,0.32126522022903026,0.3477829809536995,0.8799745376871503
New York,81,New York_81,0.17850369793965543,0.16430262454045963,18,7.955618602364519,True,164612,0.45665468009622634,0.4161186942628727,0.14492283551624424,0.3287959377202148,0.8358205276650548
New York,83,New York_83,0.15546278490704096,0.12563529144777058,17,19.186259577882737,True,2913646,0.26827734515449025,0.17980398511006485,0.13914843340611727,0.765652981728048,0.49231696115451223
New York,86,New York_86,0.18066987883835836,0.17543752556912975,18,2.8960850048003217,True,479962,0.7521251709510336,0.5490984211250057,0.6476616903004822,0.7619103897808577,0.8927435328213483
New York,865,New York_865,0.17007997195408886,0.17157659738118666,18,-0.879953947488773,False,337326,0.7471,0.6087,0.5062,0.7607,0.8914999999999998
New York,88,New York_88,0.138010959421484,0.09124672900863584,18,33.884432518167415,True,527859,0.2501261351989831,0.22895527063098292,0.11561540373470945,0.4059235265478092,0.5084099841056039
New York,881,New York_881,0.15789463273386162,0.14911429270880958,18,5.560885682448556,True,109536,0.41848681894536954,0.32469292652643883,0.3272111059377739,0.4540380012050832,0.64071030072305
