geography,hsa_nci_id,hsa_key,baseline_mae,enhanced_mae,n_test_weeks,mae_improvement_pct,wastewater_improved
New Jersey,108,New Jersey_108,0.23761152036837233,0.12941263034570685,18,45.53604549767759,True
New Jersey,127,New Jersey_127,0.19283104765648987,0.13897630742771683,18,27.928459075070798,True
New Jersey,23,New Jersey_23,0.13808575741488302,0.07524738172031621,18,45.5067755509114,True
New Jersey,36,New Jersey_36,0.17714954301843094,0.12019498033488,18,32.150555803367375,True
New Jersey,64,New Jersey_64,0.18106627429050323,0.12602517892491857,18,30.39831441899366,True
New Jersey,66,New Jersey_66,0.18401338815839705,0.10705283600127806,18,41.823343903038214,True
New Jersey,87,New Jersey_87,0.1760102817299991,0.10825063033973162,18,38.4975529408056,True
New Jersey,93,New Jersey_93,0.19455248266115707,0.14624674018811495,18,24.829157568332842,True
New York,10,New York_10,0.1655664243823538,0.07685846629281587,17,53.578470647332836,True
New York,105,New York_105,0.32175597588384397,0.30720465141885284,17,4.522472170103301,True
New York,106,New York_106,0.24756888282010028,0.23233837253208223,17,6.152029332008393,True
New York,19,New York_19,0.24430465193561565,0.22164524893246385,17,9.275059980897742,True
New York,21,New York_21,0.23620134605462054,0.21818895457338564,17,7.625863180758341,True
New York,35,New York_35,0.281284901774098,0.2549197010817083,17,9.373130419052412,True
New York,41,New York_41,0.21681651231315785,0.2183093670356877,17,-0.6885336852820785,False
New York,54,New York_54,0.23275176977292567,0.2040208132283986,17,12.344033548083091,True
New York,56,New York_56,0.16650300340002833,0.15143526657784112,17,9.049528545732311,True
New York,58,New York_58,0.23380559735900647,0.21780151086476757,17,6.845039928477317,True
New York,59,New York_59,0.21517670584488185,0.1812008413131202,17,15.789750288423146,True
New York,65,New York_65,0.2591063982125537,0.2225999828612662,17,14.089353100937348,True
New York,76,New York_76,0.25038436834325073,0.20221052978481088,17,19.23995450562575,True
New York,80,New York_80,0.2778918230659344,0.2560461394429723,17,7.861218578489401,True
New York,81,New York_81,0.2289635183681698,0.2069493593069493,17,9.614701598803212,True
New York,83,New York_83,0.20831009828409336,0.16157966374512586,16,22.433110503954794,True
New York,86,New York_86,0.24171233619413748,0.23556780022245713,17,2.542086212242478,True
New York,865,New York_865,0.23054884382166496,0.23358693764143548,17,-1.3177658015585447,False
New York,88,New York_88,0.18906791666113137,0.11978365987514569,17,36.64516857726034,True
New York,881,New York_881,0.1794887925254401,0.15206727091369207,17,15.277567599582238,True
