geography,hsa_nci_id,hsa_key,baseline_mae,enhanced_mae,n_test_weeks,mae_improvement_pct,wastewater_improved
New Jersey,108,New Jersey_108,0.17708594385491008,0.10839592893674585,19,38.78908366349126,True
New Jersey,127,New Jersey_127,0.1434260201841807,0.11482153128613781,19,19.94372350380385,True
New Jersey,23,New Jersey_23,0.10505660668046687,0.05857279126866893,19,44.24644663536487,True
New Jersey,36,New Jersey_36,0.13030398936850607,0.09287470907096936,19,28.724585086712022,True
New Jersey,64,New Jersey_64,0.14402771795950828,0.10752031630460639,19,25.347483229002854,True
New Jersey,66,New Jersey_66,0.13645229809959694,0.08702236345572718,19,36.2250657059588,True
New Jersey,87,New Jersey_87,0.12880968760573858,0.09828124685749177,19,23.700422938442664,True
New Jersey,93,New Jersey_93,0.16255029108520708,0.13850072019867932,19,14.795157071678966,True
New York,10,New York_10,0.11905541135938222,0.06671038964141993,18,43.966940368592674,True
New York,105,New York_105,0.2373726374788533,0.22884047836438892,18,3.594415601176638,True
New York,106,New York_106,0.17828547495089592,0.1685920156050108,18,5.43704379089487,True
New York,19,New York_19,0.17160335857698217,0.15761723670210048,18,8.150261155062088,True
New York,21,New York_21,0.17302484343954014,0.16161724757926532,18,6.593039261590755,True
New York,35,New York_35,0.2109932820027145,0.19677795427269917,18,6.737336655975825,True
New York,41,New York_41,0.1589562487742106,0.1604248621294945,18,-0.9239104260506203,False
New York,54,New York_54,0.17023531918890264,0.15144450743827303,18,11.038139347439568,True
New York,56,New York_56,0.12040654907999435,0.11007058546247893,18,8.58422045685283,True
New York,58,New York_58,0.1754970437682434,0.16609447078346157,18,5.357681692461223,True
New York,59,New York_59,0.14846200415664945,0.1271088158593376,18,14.382931456846752,True
New York,65,New York_65,0.19209898079750487,0.16828549823834213,18,12.396464812202716,True
New York,76,New York_76,0.1952855341513345,0.1622448780790932,18,16.919151854144395,True
New York,80,New York_80,0.20398790584951404,0.18951934744929919,18,7.092851088381974,True
New York,81,New York_81,0.17850369793965543,0.16430262454045963,18,7.955618602364519,True
New York,83,New York_83,0.15546278490704096,0.12563529144777058,17,19.186259577882737,True
New York,86,New York_86,0.18066987883835836,0.17543752556912975,18,2.8960850048003217,True
New York,865,New York_865,0.17007997195408886,0.17157659738118666,18,-0.879953947488773,False
New York,88,New York_88,0.138010959421484,0.09124672900863584,18,33.884432518167415,True
New York,881,New York_881,0.15789463273386162,0.14911429270880958,18,5.560885682448556,True
